관리번호,구분,관리기관,시설명,위치,출발 X,출발 Y,도착 X,도착 Y,총중량,폭제한,높이제한,길이제한,실제높이
702,교량,성동도로사업소,군자교,동대문구 장안동 ~ 광진구 중곡동,206261.9656,551107.3738,551226.8742,206504.6154,32,2.5,4,16.7,
722,교량,성동도로사업소,장평교,동대문구 장안동 ~ 중랑구 면목동,206806.3312,552473.571,552496.0724,207003.6742,40,2.5,4,16.7,
158,고가,동대문,배봉차도 육교,동대문구 전농동,205613.5508,553182.8758,553199.2643,205615.4098,24,2.5,4,16.7,
215,고가,성동도로사업소,청량제2고가,동대문구 전농동,204567.7026,553975.7631,553998.5371,204606.5886,32,2.5,4,16.7,
216,고가,성동도로사업소,청량제1고가,동대문구 전농동,204755.9515,554254.0779,554294.7557,204880.635,32,2.5,4,16.7,
482,교량,동대문,삼일교 ,동대문구 제기동,203084.682,553695.7318,553697.6179,203149.7531,40,2.5,4,16.7,
735,교량,성동도로사업소,제1제기교,동대문구 제기동,203193.419,554112.3692,554112.3692,203251.1928,32,2.5,4,16.7,
736,교량,성동도로사업소,제2제기교,동대문구 제기동,203279.7756,554259.8443,554313.3611,203310.4869,40,2.5,4,16.7,
733,교량,성동도로사업소,용두교,동대문구 제기동,203015.3086,553177.4226,553178.0308,203060.0072,32,2.5,4,16.7,
805,교량,북부도로사업소,다산교,동대문구 창신동 ~ 성동구 흥인동,201403.1674,552242.2278,552269.8191,201403.8748,40,2.5,4,16.7,
804,교량,북부도로사업소,오간수교,동대문구 창신동 ~ 종로구 청계7가,200855.763,552239.9285,552266.1049,200859.654,40,2.5,4,16.7,
159,고가,동대문,청량차도 육교,동대문구 청량리동,204149.5891,554120.5201,554144.7014,204156.0225,24,2.5,4,16.7,
724,교량,성동도로사업소,중랑교,동대문구 휘경동 ~ 중랑구 상봉동,206099.0588,554729.1801,554802.1575,206300.3548,32,2.5,4,16.7,
163,고가,동작,수산시장고가차도,동작구 노량진동,195033.8278,546093.4375,546230.4452,195257.1404,18,2.5,4,16.7,
269,터널,남부도로사업소,상도터널,동작구 노량진동 ~ 상도동,195607.8294,545091.8405,545805.764,195908.8609,40,2.5,4,16.7,
172,고가,교량안전과,이수고가(A),동작구 동작동 ~ 서초구 반포동,198412.2414,544297.7865,544669.9428,199225.6914,40,2.5,4,16.7,
173,고가,교량안전과,이수고가(B),동작구 동작동 ~ 서초구 반포동,198412.2395,544192.5385,544669.9421,198646.5917,40,2.5,4,16.7,
195,고가,남부도로사업소,노들고가차도,동작구 본동,195830.0241,545902.1365,546134.7155,196298.2877,32,2.5,4,16.7,
611,교량,동작,고구동산교,동작구 본동,195882.4425,545509.6964,545513.6152,195930.3725,40,2.5,4,16.7,
849,교량,공단,노량대교,동작구 본동 ~ 흑석동,195838.3533,545238.1826,546191.2861,197597.9851,40,2.5,4,16.7,
850,교량,공단,노량대교,동작구 본동 ~ 흑석동,195838.3533,545238.1826,546191.2861,197597.9851,40,2.5,4,16.7,
164,고가,동작,흑석유수지 ,동작구 흑석동,196746.914,545415.3396,545451.407,196790.3225,18,2.5,4,16.7,
854,교량,공단,동작교,동작구 흑석동 ~ 서초구 반포동,198049.3784,544975.6598,544977.1182,198209.0797,40,2.5,4,16.7,
161,고가,마포,와우교,마포구 동교동,193867.9044,550657.5627,550706.7165,193896.6307,18,2.5,4,16.7,
436,교량,교량안전과,마포대교,마포구 마포동 ~ 영등포구 여의도동,194833.5113,548584.6594,547802.1391,193834.5956,40,2.5,4,16.7,
836,교량,공단,망원5교,마포구 망원동,190406.8666,550961.0878,551156.886,190569.4849,40,2.5,4,16.7,
